"id","nombre","fecha_genero","eliminado","codigo","marca","unidad"
29609,"Bobina de resorte rodante para tubo de 20"" (508 mm) de diámetro exterior, modelo: HHDSPRING20","2024-10-07",False,"B20""/HHDSPRING20","TWILIGHT","Pieza"
29611,"Cabezal Barrenador Boring Head 4 PuLG. P/ Barra De 1""  con juego de barras de interiores , cono y árbol recto.","2024-10-07",False,"CBZL4""VERTEX","VERTEX","Pieza"
29612,"Junta Tipo CG INOX 304/316   y gráfito   30"" 600#","2024-10-07",False,"JTACG30-600","S/M","Pieza"
29613,"Junta Tipo CG INOX 304/316   y gráfito   36"" 600#","2024-10-07",False,"JTACG36-600","S/M","Pieza"
29614,"Junta Tipo CGI INOX 304/316   y gráfito   30"" 600#","2024-10-07",False,"JTACGI30-600","S/M","Pieza"
29615,"Junta Tipo CGI INOX 304/316   y gráfito   36"" 600#","2024-10-07",False,"JTACGI36-600","S/M","Pieza"
29616,"Grasa roja a base de complejo de aluminio de alto rendimiento para baleros y rodamientos, NLGI#2 PREMALUBE RED","2024-10-07",False,"GRSRJANCH","NCH","Kg"
29620,"Boquilla para corte con oxi-acetileno, modelo: 6290AC000","2024-10-07",False,"BQL/6290AC000","HARRIS","Pieza"
29621,"Boquilla para corte con oxi-acetileno, modelo: 6290AC00","2024-10-07",False,"BQL/6290AC00","HARRIS","Pieza"
29622,"Boquilla para corte con oxi-acetileno, modelo: 6290AC0","2024-10-07",False,"BQL/6290AC0","HARRIS","Pieza"
29623,"Boquilla para corte con oxi-acetileno, modelo: 6290AC1","2024-10-07",False,"BQL/6290AC1","HARRIS","Pieza"
29624,"Boquilla para corte con oxi-acetileno, modelo: 6290AC2","2024-10-07",False,"BQL/6290AC2","HARRIS","Pieza"
29625,"Boquilla para corte con oxi-acetileno, modelo: 6290AC3","2024-10-07",False,"BQL/6290AC3","HARRIS","Pieza"
29626,"Boquilla para corte con oxi-acetileno, modelo: 6290AC4","2024-10-07",False,"BQL/6290AC4","HARRIS","Pieza"
29627,"Boquilla para corte con oxi-acetileno, modelo: 6290AC5","2024-10-07",False,"BQL/6290AC5","HARRIS","Pieza"
29628,"Boquilla para corte con oxi-acetileno, modelo: 6290AC6","2024-10-07",False,"BQL/6290AC6","HARRIS","Pieza"
29629,"Barra red. de Bronce SAE 62 de 2.5""Ø ","2024-10-07",False,"BRRREDBRN2.5","S/M","Pieza"
29635,"Caja condulet tipo FSC de 1"" con rosca BSP","2024-10-07",False,"CJCNDLT1""","S/M","Pieza"
29636,"Conectores para tubo pared delgada de 1"" tipo americano","2024-10-07",False,"CNT1""AMER","S/M","Pieza"
29637,"Coples para tubo pared delgada de 1"" tipo americano","2024-10-07",False,"CPL1""AMER","S/M","Pieza"
29638,"Niples cuerda corrida conduit de 1""","2024-10-07",False,"NPCC1""","S/M","Pieza"
29639,"Abrazadera omega para tubo conduit de 1""","2024-10-07",False,"ABROMG1""","S/M","Pieza"
29640,"Pija cabeza hexagonal punta AB galvanizada de 5/16 x 2""","2024-10-07",False,"PJCBZLHX5/16X2","S/M","Pieza"
29641,"Placa tipo FS con cubierta doble sobreponer ","2024-10-07",False,"PLKTFSCCBT","S/M","Pieza"
29642,"Cable calibre 10 AWG THW-color verde","2024-10-07",False,"CABLC10AWGVDE","S/M","Mts"
26793,"Reflector exterior LED300w 100-277v 6500k 27000lm","2023-08-11",False,"THR022","S/M","Pieza"
28900,"Reflector led de 200 w montable.","2024-03-27",False,"THR022","S/M","Pieza"
29617,"Rollo de papel tapiz autoadhesivo ","2024-10-07",False,"TCN032","S/M","Pieza"
29618,"Rollo de película tipo espejo de privacidad para ventanas","2024-10-07",False,"TCN032","S/M","Pieza"
29619,"Panel acrílico de iluminación interior 121.3 x 60.3 cm","2024-10-07",False,"TCN033","S/M","Pieza"
29610,"Cepillo plano HHD 1219 mm/48"", modelo: HHDFLTBRSH48","2024-10-07",False,"TCN036","TWILIGHT","Pieza"
29630,"Tornillo mariposa de 3/8""-16H-UNC X 1"" Lgo. Ac. Carbón","2024-10-07",False,"GRF013","S/M","Pieza"
29631,"Tornillo mariposa de 1/4""-20H-UNC X 0.75"" Lgo. Ac. Carbón","2024-10-07",False,"GRF013","S/M","Pieza"
